id,file,title,teaches,foundation,family
F04-0041,F04_0041.jpg,四段工序 · 五軸±40 41,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0042,F04_0042.jpg,刀具 · BACCI行程 42,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0043,F04_0043.jpg,刀路 · 鑽模55度 43,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0044,F04_0044.jpg,治具 · 板式套裁 44,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0045,F04_0045.jpg,包材 · 換線 45,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0046,F04_0046.jpg,四段工序 · 粉塵 46,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0047,F04_0047.jpg,刀具 · VOC 47,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0048,F04_0048.jpg,刀路 · 抽檢 48,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0049,F04_0049.jpg,治具 · 出廠攤治具 49,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0050,F04_0050.jpg,包材 · 客訴回饋 50,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0051,F04_0051.jpg,四段工序 · 含水進料 51,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0052,F04_0052.jpg,刀具 · 養料天數 52,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0053,F04_0053.jpg,刀路 · 對色 53,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0054,F04_0054.jpg,治具 · OP1基準 54,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0055,F04_0055.jpg,包材 · 真空吸盤 55,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0056,F04_0056.jpg,四段工序 · 陰模 56,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0057,F04_0057.jpg,刀具 · sweep 57,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0058,F04_0058.jpg,刀路 · 球刀 58,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0059,F04_0059.jpg,治具 · 清根 59,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0060,F04_0060.jpg,包材 · 砂光工時 60,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0061,F04_0061.jpg,四段工序 · 硬質油 61,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0062,F04_0062.jpg,刀具 · EN71-3 62,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0063,F04_0063.jpg,刀路 · 導管填孔 63,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0064,F04_0064.jpg,治具 · 拆裝說明 64,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0065,F04_0065.jpg,包材 · EPE厚度 65,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0066,F04_0066.jpg,四段工序 · 五軸±40 66,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0067,F04_0067.jpg,刀具 · BACCI行程 67,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0068,F04_0068.jpg,刀路 · 鑽模55度 68,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0069,F04_0069.jpg,治具 · 板式套裁 69,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0070,F04_0070.jpg,包材 · 換線 70,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0071,F04_0071.jpg,四段工序 · 粉塵 71,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0072,F04_0072.jpg,刀具 · VOC 72,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0073,F04_0073.jpg,刀路 · 抽檢 73,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0074,F04_0074.jpg,治具 · 出廠攤治具 74,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0075,F04_0075.jpg,包材 · 客訴回饋 75,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0076,F04_0076.jpg,四段工序 · 含水進料 76,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0077,F04_0077.jpg,刀具 · 養料天數 77,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0078,F04_0078.jpg,刀路 · 對色 78,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0079,F04_0079.jpg,治具 · OP1基準 79,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0080,F04_0080.jpg,包材 · 真空吸盤 80,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0081,F04_0081.jpg,四段工序 · 陰模 81,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0082,F04_0082.jpg,刀具 · sweep 82,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0083,F04_0083.jpg,刀路 · 球刀 83,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0084,F04_0084.jpg,治具 · 清根 84,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0085,F04_0085.jpg,包材 · 砂光工時 85,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0086,F04_0086.jpg,四段工序 · 硬質油 86,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0087,F04_0087.jpg,刀具 · EN71-3 87,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0088,F04_0088.jpg,刀路 · 導管填孔 88,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0089,F04_0089.jpg,治具 · 拆裝說明 89,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0090,F04_0090.jpg,包材 · EPE厚度 90,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0091,F04_0091.jpg,四段工序 · 五軸±40 91,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0092,F04_0092.jpg,刀具 · BACCI行程 92,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0093,F04_0093.jpg,刀路 · 鑽模55度 93,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0094,F04_0094.jpg,治具 · 板式套裁 94,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0095,F04_0095.jpg,包材 · 換線 95,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0096,F04_0096.jpg,四段工序 · 粉塵 96,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0097,F04_0097.jpg,刀具 · VOC 97,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0098,F04_0098.jpg,刀路 · 抽檢 98,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0099,F04_0099.jpg,治具 · 出廠攤治具 99,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0100,F04_0100.jpg,包材 · 客訴回饋 100,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0101,F04_0101.jpg,四段工序 · 含水進料 101,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0102,F04_0102.jpg,刀具 · 養料天數 102,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0103,F04_0103.jpg,刀路 · 對色 103,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0104,F04_0104.jpg,治具 · OP1基準 104,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0105,F04_0105.jpg,包材 · 真空吸盤 105,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0106,F04_0106.jpg,四段工序 · 陰模 106,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0107,F04_0107.jpg,刀具 · sweep 107,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0108,F04_0108.jpg,刀路 · 球刀 108,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0109,F04_0109.jpg,治具 · 清根 109,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0110,F04_0110.jpg,包材 · 砂光工時 110,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0111,F04_0111.jpg,四段工序 · 硬質油 111,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0112,F04_0112.jpg,刀具 · EN71-3 112,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0113,F04_0113.jpg,刀路 · 導管填孔 113,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0114,F04_0114.jpg,治具 · 拆裝說明 114,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0115,F04_0115.jpg,包材 · EPE厚度 115,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0116,F04_0116.jpg,四段工序 · 五軸±40 116,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0117,F04_0117.jpg,刀具 · BACCI行程 117,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0118,F04_0118.jpg,刀路 · 鑽模55度 118,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0119,F04_0119.jpg,治具 · 板式套裁 119,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0120,F04_0120.jpg,包材 · 換線 120,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0121,F04_0121.jpg,四段工序 · 粉塵 121,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0122,F04_0122.jpg,刀具 · VOC 122,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0123,F04_0123.jpg,刀路 · 抽檢 123,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0124,F04_0124.jpg,治具 · 出廠攤治具 124,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0125,F04_0125.jpg,包材 · 客訴回饋 125,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0126,F04_0126.jpg,四段工序 · 含水進料 126,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0127,F04_0127.jpg,刀具 · 養料天數 127,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0128,F04_0128.jpg,刀路 · 對色 128,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0129,F04_0129.jpg,治具 · OP1基準 129,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0130,F04_0130.jpg,包材 · 真空吸盤 130,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0131,F04_0131.jpg,四段工序 · 陰模 131,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0132,F04_0132.jpg,刀具 · sweep 132,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0133,F04_0133.jpg,刀路 · 球刀 133,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0134,F04_0134.jpg,治具 · 清根 134,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0135,F04_0135.jpg,包材 · 砂光工時 135,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0136,F04_0136.jpg,四段工序 · 硬質油 136,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0137,F04_0137.jpg,刀具 · EN71-3 137,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0138,F04_0138.jpg,刀路 · 導管填孔 138,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0139,F04_0139.jpg,治具 · 拆裝說明 139,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0140,F04_0140.jpg,包材 · EPE厚度 140,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0141,F04_0141.jpg,四段工序 · 五軸±40 141,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0142,F04_0142.jpg,刀具 · BACCI行程 142,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0143,F04_0143.jpg,刀路 · 鑽模55度 143,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0144,F04_0144.jpg,治具 · 板式套裁 144,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0145,F04_0145.jpg,包材 · 換線 145,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0146,F04_0146.jpg,四段工序 · 粉塵 146,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0147,F04_0147.jpg,刀具 · VOC 147,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0148,F04_0148.jpg,刀路 · 抽檢 148,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0149,F04_0149.jpg,治具 · 出廠攤治具 149,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0150,F04_0150.jpg,包材 · 客訴回饋 150,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0151,F04_0151.jpg,四段工序 · 含水進料 151,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0152,F04_0152.jpg,刀具 · 養料天數 152,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0153,F04_0153.jpg,刀路 · 對色 153,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0154,F04_0154.jpg,治具 · OP1基準 154,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0155,F04_0155.jpg,包材 · 真空吸盤 155,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0156,F04_0156.jpg,四段工序 · 陰模 156,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0157,F04_0157.jpg,刀具 · sweep 157,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0158,F04_0158.jpg,刀路 · 球刀 158,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0159,F04_0159.jpg,治具 · 清根 159,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0160,F04_0160.jpg,包材 · 砂光工時 160,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0161,F04_0161.jpg,四段工序 · 硬質油 161,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0162,F04_0162.jpg,刀具 · EN71-3 162,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0163,F04_0163.jpg,刀路 · 導管填孔 163,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0164,F04_0164.jpg,治具 · 拆裝說明 164,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0165,F04_0165.jpg,包材 · EPE厚度 165,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0166,F04_0166.jpg,四段工序 · 五軸±40 166,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0167,F04_0167.jpg,刀具 · BACCI行程 167,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0168,F04_0168.jpg,刀路 · 鑽模55度 168,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0169,F04_0169.jpg,治具 · 板式套裁 169,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0170,F04_0170.jpg,包材 · 換線 170,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0171,F04_0171.jpg,四段工序 · 粉塵 171,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0172,F04_0172.jpg,刀具 · VOC 172,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0173,F04_0173.jpg,刀路 · 抽檢 173,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0174,F04_0174.jpg,治具 · 出廠攤治具 174,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0175,F04_0175.jpg,包材 · 客訴回饋 175,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0176,F04_0176.jpg,四段工序 · 含水進料 176,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0177,F04_0177.jpg,刀具 · 養料天數 177,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0178,F04_0178.jpg,刀路 · 對色 178,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0179,F04_0179.jpg,治具 · OP1基準 179,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0180,F04_0180.jpg,包材 · 真空吸盤 180,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0181,F04_0181.jpg,四段工序 · 陰模 181,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0182,F04_0182.jpg,刀具 · sweep 182,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0183,F04_0183.jpg,刀路 · 球刀 183,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0184,F04_0184.jpg,治具 · 清根 184,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0185,F04_0185.jpg,包材 · 砂光工時 185,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0186,F04_0186.jpg,四段工序 · 硬質油 186,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0187,F04_0187.jpg,刀具 · EN71-3 187,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0188,F04_0188.jpg,刀路 · 導管填孔 188,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0189,F04_0189.jpg,治具 · 拆裝說明 189,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
F04-0190,F04_0190.jpg,包材 · EPE厚度 190,薄緣獨立保護，箱子要過運輸試驗。,ISTA 3A / ASTM D4169 / Flexner Finishing,pack
F04-0191,F04_0191.jpg,四段工序 · 五軸±40 191,備料白身噴漆包材，不要倒過來想。,Kalpakjian Manufacturing / Joyce Furniture Making,flow
F04-0192,F04_0192.jpg,刀具 · BACCI行程 192,直徑、步距、懸伸、留砂。,Smid CNC Handbook / Machinery's Handbook,tool
F04-0193,F04_0193.jpg,刀路 · 鑽模55度 193,順著形走，不要層切雕塑面。,Choi Sculptured Surface Machining / NURBS Book,path
F04-0194,F04_0194.jpg,治具 · 板式套裁 194,先有夾，才有刀路。,Boothroyd DFMA / Shingo SMED,fix
