id,role,file,title
45,03,B03_45_Furniture_Design_and_Engineering.txt,Furniture Design and Engineering
46,03,B03_46_NDS_National_Design_Specification_for_Wood_Const.txt,NDS National Design Specification for Wood Construction
47,03,B03_47_EN_1995-1-1_Eurocode_5_Design_of_timber_structur.txt,EN 1995-1-1 Eurocode 5 Design of timber structures
48,03,B03_48_EN_1728.txt,EN 1728 / EN 12520 Furniture seating strength and durability
49,03,B03_49_BIFMA_X51_Office_Seating.txt,BIFMA X5.1 Office Seating
50,03,B03_50_ISO_7170_Furniture_storage_units_test_methods.txt,ISO 7170 Furniture storage units test methods
51,03,B03_51_Materials_Selection_in_Mechanical_Design.txt,Materials Selection in Mechanical Design
52,03,B03_52_Materials_and_Design.txt,Materials and Design
53,03,B03_53_Materials_Science_and_Engineering.txt,Materials Science and Engineering
54,03,B03_54_Mechanics_of_Materials.txt,Mechanics of Materials
55,03,B03_55_Shigleys_Mechanical_Engineering_Design.txt,Shigley's Mechanical Engineering Design
56,03,B03_56_Roarks_Formulas_for_Stress_and_Strain.txt,Roark's Formulas for Stress and Strain
57,03,B03_57_Structures_Or_Why_Things_Dont_Fall_Down.txt,Structures: Or Why Things Don't Fall Down
58,03,B03_58_The_New_Science_of_Strong_Materials.txt,The New Science of Strong Materials
59,03,B03_59_Form_and_Forces.txt,Form and Forces
60,03,B03_60_Structure_Systems.txt,Structure Systems
61,03,B03_61_World_Woods_in_Color.txt,World Woods in Color
62,03,B03_62_Holzatlas.txt,Holzatlas / Wood Atlas
63,03,B03_63_Wood_in_Australia.txt,Wood in Australia
64,03,B03_64_Handbook_of_Hardwoods.txt,Handbook of Hardwoods
65,03,B03_65_ASTM_D143_Small_Clear_Specimens_of_Timber.txt,ASTM D143 Small Clear Specimens of Timber
66,03,B03_66_ASTM_D198_Static_Tests_of_Lumber_in_Structural_S.txt,ASTM D198 Static Tests of Lumber in Structural Sizes
67,03,B03_67_GB.txt,GB/T 10357 Furniture mechanical property test
68,04,B04_68_Manufacturing_Engineering_and_Technology.txt,Manufacturing Engineering and Technology
69,04,B04_69_Fundamentals_of_Modern_Manufacturing.txt,Fundamentals of Modern Manufacturing
70,04,B04_70_Product_Design_for_Manufacture_and_Assembly.txt,Product Design for Manufacture and Assembly
71,04,B04_71_Product_Design_and_Development.txt,Product Design and Development
72,04,B04_72_Engineering_Design.txt,Engineering Design
73,04,B04_73_Machinerys_Handbook.txt,Machinery's Handbook
74,04,B04_74_CNC_Programming_Handbook.txt,CNC Programming Handbook
75,04,B04_75_Manufacturing_Automation.txt,Manufacturing Automation
76,04,B04_76_Sculptured_Surface_Machining.txt,Sculptured Surface Machining
77,04,B04_77_The_NURBS_Book.txt,The NURBS Book
78,04,B04_78_ASME_Y145_Dimensioning_and_Tolerancing.txt,ASME Y14.5 Dimensioning and Tolerancing
79,04,B04_79_Understanding_Wood_Finishing.txt,Understanding Wood Finishing
80,04,B04_80_Dry_Kiln_Operators_Manual_FPL_Agric_Handbook_188.txt,Dry Kiln Operator's Manual FPL Agric. Handbook 188
81,04,B04_81_Encyclopedia_of_Furniture_Making.txt,Encyclopedia of Furniture Making
82,04,B04_82_The_Complete_Manual_of_Woodworking.txt,The Complete Manual of Woodworking
83,04,B04_83_The_Complete_Illustrated_Guide_to_Joinery.txt,The Complete Illustrated Guide to Joinery
84,04,B04_84_Tage_Frid_Teaches_Woodworking.txt,Tage Frid Teaches Woodworking
85,04,B04_85_Lean_Thinking.txt,Lean Thinking
86,04,B04_86_Toyota_Production_System.txt,Toyota Production System
87,04,B04_87_A_Revolution_in_Manufacturing_The_SMED_System.txt,A Revolution in Manufacturing: The SMED System
88,04,B04_88_Introduction_to_Statistical_Quality_Control.txt,Introduction to Statistical Quality Control
89,04,B04_89_Jurans_Quality_Handbook.txt,Juran's Quality Handbook
90,04,B04_90_ISO_12100_Safety_of_machinery.txt,ISO 12100 Safety of machinery
91,04,B04_91_NFPA_664_Wood_Processing_Fires_and_Explosions.txt,NFPA 664 Wood Processing Fires and Explosions
92,04,B04_92_ISTA_3A_Packaged-Products_for_Parcel_Delivery.txt,ISTA 3A Packaged-Products for Parcel Delivery
93,04,B04_93_ASTM_D4169_Shipping_Containers_and_Systems.txt,ASTM D4169 Shipping Containers and Systems
94,04,B04_94_Industrial_Design_Materials_and_Manufacturing_Gu.txt,Industrial Design: Materials and Manufacturing Guide
95,04,B04_95_Cost_Estimating.txt,Cost Estimating
96,04,B04_96_Factory_Physics.txt,Factory Physics
97,04,B04_97_Computer-Aided_Manufacturing.txt,Computer-Aided Manufacturing
98,04,B04_98_Mastering_CAD.txt,Mastering CAD/CAM
99,04,B04_99_ISO_13849-1_Safety-related_parts_of_control_syst.txt,ISO 13849-1 Safety-related parts of control systems
100,04,B04_100_Making_It_Manufacturing_Techniques_for_Product_D.txt,Making It: Manufacturing Techniques for Product Design
